Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question type
What are the number of satellites t mercury have ? ,1,8,17,0,0,EASY
What are the number of rings in mercury ? ,0,2,10,3,0,EASY
What is the position of mercury from the sun ? ,2,8,1,6,1,EASY
What is the rank of mercury when planets are arranged largest to smallest in size ? ,9,4,8,2,8,EASY
What are the number of satellites t Venus have ? ,1,0,8,17,0,EASY
What are the number of rings in Venus ? ,4,2,10,0,0,EASY
What is the position of Venus from the sun ? ,3,9,8,2,2,EASY
What is the rank of Venus when planets are arranged largest to smallest in size ? ,6,9,4,3,6,EASY
What are the number of satellites t Earth have ? ,0,16,1,8,1,EASY
What are the number of rings in Earth ? ,4,2,0,3,0,EASY
What is the position of Earth from the sun ? ,3,5,10,8,3,EASY
What is the rank of Earth when planets are arranged largest to smallest in size ? ,6,5,9,4,5,EASY
What are the number of satellites t Mars have ? ,2,0,17,1,2,EASY
What are the number of rings in Mars ? ,4,2,0,3,0,EASY
What is the position of Mars from the sun ? ,3,2,7,4,4,EASY
What is the rank of Mars when planets are arranged largest to smallest in size ? ,5,6,3,7,7,EASY
What are the number of satellites t Jupiter have ? ,2,1,16,1,16,EASY
What are the number of rings in Jupiter ? ,4,2,10,1,1,EASY
What is the position of Jupiter from the sun ? ,4,3,2,5,5,EASY
What is the rank of Jupiter when planets are arranged largest to smallest in size ? ,7,1,6,9,1,EASY
What are the number of satellites t Saturn have ? ,20+,2,1,0,20+,EASY
What are the number of rings in Saturn ? ,4,2,"100,000
",3,"100,000
",EASY
What is the position of Saturn from the sun ? ,6,4,3,2,6,EASY
What is the rank of Saturn when planets are arranged largest to smallest in size ? ,2,7,5,6,2,EASY
What are the number of satellites t Uranus have ? ,20+,17,2,1,17,EASY
What are the number of rings in Uranus ? ,4,2,10,9,9,EASY
What is the position of Uranus from the sun ? ,7,5,4,3,7,EASY
What is the rank of Uranus when planets are arranged largest to smallest in size ? ,2,3,7,5,3,EASY
What are the number of satellites t Neptune have ? ,8,20+,16,2,8,EASY
What are the number of rings in Neptune ? ,4,2,10,5,5,EASY
What is the position of Neptune from the sun ? ,7,6,8,4,8,EASY
What is the rank of Neptune when planets are arranged largest to smallest in size ? ,3,4,1,7,4,EASY
