Year,Event,Importance,,,,,,,,,,,,,,,,,,,,,,,
1500 BC-1000 BC,Early Vedic period,Rig Veda period,,,,,,,,,,,,,,,,,,,,,,,
540 BC,Birth of Mahavira,24th Tirthankara of Jainism,,,,,,,,,,,,,,,,,,,,,,,
1st -4th AD,The Shakas,Rudradaman (130 AD – 150 AD),,,,,,,,,,,,,,,,,,,,,,,
1906,Calcutta Session of INC,Question on extending the movement to the rest of India,,,,,,,,,,,,,,,,,,,,,,,
319 - 540 AD,The Gupta Age,"The golden age of India development of numerous art and literature.
Nagara style of Temple Building",,,,,,,,,,,,,,,,,,,,,,,
1236 -1240 AD,Razia Sultana,First and only muslim lady who ever ruled India,,,,,,,,,,,,,,,,,,,,,,,
1290 - 1296 AD,Jalaluddin Khalji,Founder of Khalji dynasty,,,,,,,,,,,,,,,,,,,,,,,
1398 - 1399 AD,Taimur Invasion,"Taimur, the descendant of Chengiz Khan, invaded during the reign of Muhammad Shah Tuglaq",,,,,,,,,,,,,,,,,,,,,,,
1526 - 1530 AD,Babur,Founder of Mughal empire after the 1st Battle of Panipat,,,,,,,,,,,,,,,,,,,,,,,
1540 -1555 AD,Sur Empire,Sher Shah defeated Humayun and ruled from 1540-45 AD,,,,,,,,,,,,,,,,,,,,,,,
1905,Bengal Partition,Boycott of foreign products,,,,,,,,,,,,,,,,,,,,,,,
1906,Muslim league formation,Swaraj as the goal,,,,,,,,,,,,,,,,,,,,,,,
1907,Surat split,Separate electorate for Muslims,,,,,,,,,,,,,,,,,,,,,,,
1760 - 1764 AD,Mir Qasim,Establishment of Modern Mysore state,,,,,,,,,,,,,,,,,,,,,,,
1761 - 1782 AD,Haider Ali,Haider ali defeated the British,,,,,,,,,,,,,,,,,,,,,,,
1766-1769 AD,1st Anglo - Mysore war,Haider ali was defeated by Sir Eyrecoot,,,,,,,,,,,,,,,,,,,,,,,
1799,4th Anglo - Mysore war,Founder of Sikh rule,,,,,,,,,,,,,,,,,,,,,,,
1792 -1839 AD,Maharaja Ranjit Singh,Sikhs were defeated,,,,,,,,,,,,,,,,,,,,,,,
1845 - 1846 AD,1st Anglo - Sikh war,Dalhousie annexed Punjab,,,,,,,,,,,,,,,,,,,,,,,
1848 - 1849 AD,2nd Anglo - Sikh war,Headquarters at Cochin and Goa,,,,,,,,,,,,,,,,,,,,,,,
1905 - 1917,Extremists Phase,Curzon announced the partition,,,,,,,,,,,,,,,,,,,,,,,
1885 - 1905,Moderate phase,Dominated by Lal-Bal-Pal and Aurobindo Ghosh,,,,,,,,,,,,,,,,,,,,,,,
1775 - 1782 AD,1st Anglo Maratha War,Marathas were defeated and they signed the Subsidiary Alliance,,,,,,,,,,,,,,,,,,,,,,,
1803 -1806 AD,2nd Angalo Maratha War,Marathas were decisively defeated,,,,,,,,,,,,,,,,,,,,,,,
1817 - 1818 AD,3rd Angalo Maratha War,Capital of Bengal transferred to Murshidabad,,,,,,,,,,,,,,,,,,,,,,,
483 BC,1st Buddhist council,Rajgir,,,,,,,,,,,,,,,,,,,,,,,
383 BC,2nd Buddhist Council,Vaishali,,,,,,,,,,,,,,,,,,,,,,,
250 BC,3rd Buddhist council,Pataliputra,,,,,,,,,,,,,,,,,,,,,,,
72 AD,4th Buddhist Council,Kashmir,,,,,,,,,,,,,,,,,,,,,,,
1916,Lucknow pact,Extremists admitted in Congress,,,,,,,,,,,,,,,,,,,,,,,
