Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Ques Type,Question Level
What is the capital of Argentina?,Buenos Aires,Luanda,Andorra la Vella,Algiers,Buenos Aires,static,MEDIUM
What is the currency of Argentina?,East Caribbean dollar,New Kwanza,Euro,Peso,Peso,static,MEDIUM
What is the official language of Argentina?,English,Spanish,Catalan,Arabic; Tamazight; French,Spanish,static,MEDIUM
Who is the head of government of Argentina?,Prime Minister – Gaston Browne,President – Mauricio Macri,Prime Minister - Xavier Espot Zamora,Prime Minister – Noureddin Bedoui,President – Mauricio Macri,dynamic,MEDIUM
What is the capital of Austria?,Canberra,Yerevan,Buenos Aires,Vienna,Vienna,static,MEDIUM
What is the currency of Austria?,Australian dollar,Euro (formerly schilling),Peso,East Caribbean dollar,Euro (formerly schilling),static,MEDIUM
What is the official language of Austria?,English,German,Spanish,English,German,static,MEDIUM
Who is the head of government of Austria?,President - Alexander Van der Bellen,President – Armen Sarkissian,President – Mauricio Macri,Prime Minister – Gaston Browne,President - Alexander Van der Bellen,dynamic,MEDIUM
What is the capital of Chile?,N'Djamena,Bangui,Santiago,Ottawa,Santiago,static,MEDIUM
What is the currency of Chile?,CFA Franc,Chilean Peso,Cape Verdean escudo,Canadian dollar,Chilean Peso,static,MEDIUM
What is the official language of Chile?,French; Arabic,Sango; French,Spanish,English; French,Spanish,static,MEDIUM
Who is the head of government of Chile?,President - Idriss Deby,Prime Minister – Firmin Ngrebada,President – Sebastián Piñera,Prime Minister – Justin Trudeau,President – Sebastián Piñera,dynamic,MEDIUM
What is the capital of Colombia?,Beijing,Santiago,Bogota,Bangui,Bogota,static,MEDIUM
What is the currency of Colombia?,Chinese Yuan,Colombian Peso,CFA Franc,CFA Franc,Colombian Peso,static,MEDIUM
What is the official language of Colombia?,Spanish,Spanish,French; Arabic,Sango; French,Spanish,static,MEDIUM
Who is the head of government of Colombia?,President - Xi Jinping,President – Ivan Duque Marquez,President - Idriss Deby,Prime Minister – Firmin Ngrebada,President – Ivan Duque Marquez,dynamic,MEDIUM
What is the capital of Croatia?,"Yamoussoukro
(official); Abidjan (de facto)",Zagreb,Kinshasa,Moroni,Zagreb,static,MEDIUM
What is the currency of Croatia?,CFA Franc,Colón,Congolese franc,Croatian,Croatian,static,MEDIUM
What is the official language of Croatia?,French,Spanish,French,Kuna,Kuna,static,MEDIUM
Who is the head of government of Croatia?,Prime Minister – Andrej Plenkovi?,President – Carlos Alvarado Quesada,Prime Minister –Sylvestre Ilunga,President – Azali Assoumani,Prime Minister – Andrej Plenkovi?,dynamic,MEDIUM
