Year,Events
1893 – 1914,Gandhi in South Africa
1915 – 1948,Gandhi in India
1915,Arrived in Bombay. First two years to tour India and not to participate in any political movement
1917,Champaran Campaign
1918,Ahmedabad
1918,Kheda
1919,Rowlatt Sathyagraha
1920-22,Non-cooperation and Khilafat movement
1924,Belgaum session
1930 -34,Civil disobedience movement
1940-41,Individual satyagraha
1942,Quit India movement
1919,Jallianwala Massacre
1919,Khilafat and Non-cooperation movement
1920-22,Chauri Chaura incident
1922,Congress Khilafat Swaraj Party
1923,Simon commission
1927,Nehru committee report
1928,Jinnah’s 14 points
1929,Lahore session
1929,Civil disobedience movement
1930,Gandhi Irwin Pact
1931,2nd RTC held in London
1931,Communal award
1932,Poona Pact
1932,Government of India act
1935,18 months rule of Congress begins
1937,World War II begins
1939-45,Congress ministries resign
1939,August offer
1940,Individual Satyagraha
1941,Cripps mission
1942,Quit India movement
1942,Gandhi’s 21 days fast
1943,C R Formula
1944,Wavell Plan and Shimla Conference
1945,INA Trails
1945,RIN Ratings Mutiny
1946,Cabinet mission plan
1946,Formation of Interim government
1946,Formation of the constituent assembly
1946,Atlee’s announcement
1947,Mountbatten Plan
1947,"Indian independence act, 1947"
