Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Ques Type,Question Level
What is the capital of Australia?,Yerevan,Canberra,Saint John's,Luanda,Canberra,static,EASY
What is the currency of Australia?,Australian dollar,Peso,East Caribbean dollar,New Kwanza,Australian dollar,static,EASY
What is the official language of Australia?,Armenian,Spanish,English,English,English,static,EASY
Who is the head of government of Australia?,President – Armen Sarkissian,President – Mauricio Macri,Prime Minister – Scott Morrison,President – João Lourenço,Prime Minister – Scott Morrison,dynamic,EASY
What is the population of Australia?,106675,2962137,25439164,97764,25439164,dynamic,EASY
What is the capital of Bangladesh?,Dhaka,Baku,Vienna,Canberra,Dhaka,static,EASY
What is the currency of Bangladesh?,Bahrain dinar,Manat,Euro (formerly schilling),Taka,Taka,static,EASY
What is the official language of Bangladesh?,Bangla,Azerbaijani,German,English,Bangla,static,EASY
Who is the head of government of Bangladesh?,"Prime Minister – Prince
Khalifa bin Salman Al Khalifa",Prime Minister – Novruz Mammadov,President - Alexander Van der Bellen,Prime Minister – Sheikh Hasina,Prime Minister – Sheikh Hasina,dynamic,EASY
What is the population of Bangladesh?,1688629,392477,164354176,8996022,164354176,dynamic,EASY
What is the capital of Belgium?,Minsk,Brussels,Dhaka,Manama,Brussels,static,EASY
What is the currency of Belgium?,Belorussian ruble,Barbados dollar,Euro (formerly Belgian franc),Bahrain dinar,Euro (formerly Belgian franc),static,EASY
What is the official language of Belgium?,Belarusian; Russian,English,Dutch; French; German,Arabic,Dutch; French; German,static,EASY
Who is the head of government of Belgium?,Prime Minister – Syarhei Rumas,Prime Minister – Charles Michel,Prime Minister – Sheikh Hasina,"Prime Minister – Prince
Khalifa bin Salman Al Khalifa",Prime Minister – Charles Michel,dynamic,EASY
What is the population of Belgium?,9449940,287305,164354176,11579477,11579477,dynamic,EASY
What is the capital of Bhutan?,Porto-Novo,Belmopan,Thimphu,Minsk,Thimphu,static,EASY
What is the currency of Bhutan?,Ngultrum,Belize dollar,Euro (formerly Belgian franc),Belorussian ruble,Ngultrum,static,EASY
What is the official language of Bhutan?,Dzongkha,English,Dutch; French; German,Belarusian; Russian,Dzongkha,static,EASY
Who is the head of government of Bhutan?,President - Patrice Talon,Prime Minister – Dean Barrow,Prime Minister – Charles Michel,Prime Minister – Lotay Tshering,Prime Minister – Lotay Tshering,dynamic,EASY
What is the population of Bhutan?,62323,12055347,396120,769867,769867,dynamic,EASY
What is the capital of Brazil?,Brasilia,Sarajevo,"La Paz
(administrative); Sucre (judicial)",Thimphu,Brasilia,static,EASY
What is the currency of Brazil?,Real,Convertible Mark,Boliviano,Ngultrum,Real,static,EASY
What is the official language of Brazil?,English; Tswana,Portuguese,Spanish; Quechua; Aymara,Dzongkha,Portuguese,static,EASY
Who is the head of government of Brazil?,President – Mokgweetsi Masisi,"Chairman of the Council of Ministers - Denis
Zvizdi?",Prime Minister – Evo Morales,President – Jair Bolsonaro,President – Jair Bolsonaro,dynamic,EASY
What is the population of Brazil?,212253150,3284806,11640159,769867,212253150,dynamic,EASY
What is the capital of Canada?,Yaounde,Phnom Penh,Ottawa,Ouagadougou,Ottawa,static,EASY
What is the currency of Canada?,Canadian dollar,Riel,Burundi franc,CFA Franc,Canadian dollar,static,EASY
What is the official language of Canada?,French; English,English; French,Kirundi; French,French,English; French,static,EASY
Who is the head of government of Canada?,Prime Minister – Joseph Ngute,Prime Minister – Hun Sen,Prime Minister – Justin Trudeau,"Prime Minister  -
Christophe Joseph Marie Dabiré",Prime Minister – Justin Trudeau,dynamic,EASY
What is the population of Canada?,26405174,16671185,554750,37674770,37674770,dynamic,EASY
What is the capital of China?,Santiago,Beijing,Bangui,Praia,Beijing,static,EASY
What is the currency of China?,Chilean Peso,Chinese Yuan,CFA Franc,Cape Verdean escudo,Chinese Yuan,static,EASY
What is the official language of China?,Spanish,French; Arabic,Sango; French,Mandarin,Mandarin,static,EASY
Who is the head of government of China?,President – Sebastián Piñera,President - Xi Jinping,Prime Minister – Firmin Ngrebada,Prime Minister – Ulisses Correia e Silva,President - Xi Jinping,dynamic,EASY
What is the population of China?,1438207241,173536,16324440,4812256,1438207241,dynamic,EASY
What is the capital of France?,Helsinki,Suva,Addis Ababa,Paris,Paris,static,EASY
What is the currency of France?,Euro (formerly French franc),Fiji dollar,Birr,Estonia Kroon; Euro,Euro (formerly French franc),static,EASY
What is the official language of France?,French,English; Bau Fijian; Hindi,Amharic,Estonian,French,static,EASY
Who is the head of government of France?,Prime Minister – Juha Sipilä,Prime Minister – Édouard Philippe,Prime Minister – Abiy Ahmed,Prime Minister – Jüri Ratas,Prime Minister – Édouard Philippe,dynamic,EASY
What is the population of France?,5539002,895128,65244628,48826,65244628,dynamic,EASY
What is the capital of Germany?,Tbilisi,Libreville,Berlin,Helsinki,Berlin,static,EASY
What is the currency of Germany?,Euro (formerly Deutsche mark),CFA Franc,Euro (formerly French franc),Euro (formerly markka),Euro (formerly Deutsche mark),static,EASY
What is the official language of Germany?,Georgian,French,French,German,German,static,EASY
