word,word_meaning,cefr_rating
conception,People from different cultures have different conceptions of the world.,6
feeble,"He was a feeble, helpless old man.",6
missile,a missile launcher,6
frontier,Some of the frontier between Germany and Poland follows the course of the river Oder.,6
splendour,They bought a decaying 16th-century manor house and restored it to its original splendour.,6
diagnosis,"""What was the diagnosis?"" ""Arthritis in both joints.""",6
dismay,Aid workers were said to have been filled with dismay by the appalling conditions that the refugees were living in.,6
summon,General Rattigan summoned reinforcements to help resist the attack.,6
insofar as,"She had done her best to comfort him, insofar as she was able.",6
plunge,We ran down to the beach and plunged into the sea.,6
dispute,a bitter/long-running dispute,6
desperate,desperate poverty,6
humble,He’s very humble about his success.,6
fearless,a fearless fighter,6
expressive,an expressive face,6
infancy,Her youngest child died in infancy.,6
prescribe,The drug is often prescribed for ulcers.,6
consecutive,This is the fifth consecutive weekend that I’ve spent working.,6
subtle,The room was painted a subtle shade of pink.,6
elaborate,You want a plain blouse to go with that skirt - nothing too elaborate.,6
voluntarily,If you don’t leave voluntarily then we will send you away.,6
apologetic,She was so apologetic about forgetting my birthday it was almost embarrassing.,6
summit,a summit meeting,6
superiority,The Australian team soon demonstrated their superiority over the opposition.,6
animated,There was an extremely animated discussion on the subject.,6
traumatic,"Some of the most disturbed children had witnessed really traumatic things, such as rape and murder.",6
indisputable,an artist of indisputable skill,6
subconsciously,I think I must have known subconsciously that something was going on between them.,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
anonymous,The money was donated by an anonymous benefactor.,6
humble,He’s very humble about his success.,6
virtue,Patience is a virtue.,6
resistance,resistance to disease,6
trauma,the trauma of marriage breakdown,6
individually,The children will first sing individually and then as a group.,6
animated,There was an extremely animated discussion on the subject.,6
dubious,These claims are dubious and not scientifically proven.,6
disqualify,Two top athletes have been disqualified from the championship after positive drug tests.,6
dubious,These claims are dubious and not scientifically proven.,6
radical,He was known as a radical reformer/thinker/politician.,6
vocation,I feel I’ve found/missed my true vocation.,6
bland,I find chicken a little bland.,6
oilfield,the Saudi Arabian oilfields,6
smoky,a smoky pub/restaurant,6
intact,The church was destroyed in the bombing but the altar survived intact.,6
provoke,The prospect of increased prices has already provoked an outcry.,6
wholeheartedly,Both groups are wholeheartedly in favour of the changes.,6
ironic,"It is ironic that although many items are now cheaper to make, fewer people can afford to buy them.",6
attribute,Organizational ability is an essential attribute for a good manager.,6
shudder,The sight of so much blood made him shudder.,6
chronic,chronic diseases/conditions,6
assault,He was charged with sexual assault.,6
catastrophe,They were warned of the ecological catastrophe to come.,6
bloody,I’ve had a bloody awful week.,6
loathe,From an early age the brothers have loathed each other.,6
hinder,High winds have hindered firefighters in their efforts to put out the blaze.,6
exemplify,This painting perfectly exemplifies the naturalistic style which was so popular at the time.,6
execute,He was executed for murder.,6
elaborate,You want a plain blouse to go with that skirt - nothing too elaborate.,6
horrifying,horrifying injuries/conditions/news,6
humble,He’s very humble about his success.,6
smoky,a smoky pub/restaurant,6
consecutive,This is the fifth consecutive weekend that I’ve spent working.,6
marginal,The report suggests that there has only been a marginal improvement in women’s pay over the past few years.,6
irresistible,an irresistible offer,6
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
unfavourable,Current conditions are very unfavourable for new businesses.,6
consecutive,This is the fifth consecutive weekend that I’ve spent working.,6
dispute,a bitter/long-running dispute,6
clichéd,He made some clichéd remark.,6
inhabit,These remote islands are inhabited only by birds.,6
model,The educational system was a model for those of many other countries.,6
conclusively,It is impossible to demonstrate/prove conclusively that the factory is responsible for the pollution.,6
fringe,the southern fringe of the city,6
experimental,The drug is still at the experimental stage (= is still being tested).,6
reconcile,It is sometimes difficult to reconcile science and religion.,6
scruffy,They live in a scruffy part of town.,6
insofar as,"She had done her best to comfort him, insofar as she was able.",6
glue,a blob of glue,6
eradicate,The government claims to be doing all it can to eradicate corruption.,6
ritual,Coffee and the newspaper are part of my morning ritual.,6
apologetic,She was so apologetic about forgetting my birthday it was almost embarrassing.,6
legitimate,The army must give power back to the legitimate government.,6
uphold,As a police officer you are expected to uphold the law whether you agree with it or not.,6
bland,I find chicken a little bland.,6
bland,I find chicken a little bland.,6
convict,He has twice been convicted of robbery/arson.,6
indisputable,an artist of indisputable skill,6
smoky,a smoky pub/restaurant,6
irresistible,an irresistible offer,6
elaborate,You want a plain blouse to go with that skirt - nothing too elaborate.,6
soothing,I put on some nice soothing music.,6
resemblance,There was a clear family resemblance between all the brothers.,6
arouse,It’s a subject that has aroused a lot of interest.,6
allocation,[ U ] The allocation of space in this office is unusual.,6
insofar as,"She had done her best to comfort him, insofar as she was able.",6
analogy,He drew an analogy between the brain and a vast computer.,6
legitimate,The army must give power back to the legitimate government.,6
sprinkle,Sprinkle a few herbs on the pizza./Sprinkle the pizza with a few herbs.,6
eradicate,The government claims to be doing all it can to eradicate corruption.,6
legitimate,The army must give power back to the legitimate government.,6
disloyal,His sisters thought that his autobiography was disloyal to the family.,6
dominance,The ability of a firm to set or control market prices is a sign of dominance.,6
horrified,He looked horrified when I told him.,6
fearless,a fearless fighter,6
facial,facial hair,6
exclaim,"""You can’t leave now!"" she exclaimed.",6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
chancellor,Helmut Kohl became the first Chancellor of a united Germany in 1990.,6
diarrhoea,diarrhoea and sickness,6
backward,"When he was a child, his teachers thought he was backward (= unable to learn as much as most children).",6
conviction,"Since it was her first conviction for stealing, she was given a less severe sentence.",6
sequence,The first chapter describes the strange sequence of events that led to his death.,6
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
disqualify,Two top athletes have been disqualified from the championship after positive drug tests.,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
irresistible,an irresistible offer,6
inhabit,These remote islands are inhabited only by birds.,6
assembly,the United Nations General Assembly,6
intrusion,They complained about excessive government intrusion (= unwanted involvement) into their legitimate activities.,6
fearless,a fearless fighter,6
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
consecutive,This is the fifth consecutive weekend that I’ve spent working.,6
