Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family,Meaning,Onset for first letter,,Onser for seconf letter
holiday,501,450,break,2,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
holiday,501,1169,celebration,3,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
holiday,501,1559,festival,3,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],cello;hello;hollo;callo
holiday,501,3214,liberty,4,2,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],cave;eave;gave;have;lave;nave;pave;rave;save;tave;wave;cive;dive;five;give;hive;jive;live;rive;vive;wive;cove;dove;gove;hove;love;move;rove;wove;gyve;neve;reve;weve;wyve
holiday,501,7527,anniversary,3,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],cave;eave;gave;have;lave;nave;pave;rave;save;tave;wave;cive;dive;five;give;hive;jive;live;rive;vive;wive;cove;dove;gove;hove;love;move;rove;wove;gyve;neve;reve;weve;wyve
holiday,501,8765,festivity,-1,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
holiday,501,10699,fete,-1,2,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
holiday,501,13021,fiesta,-1,2,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
holiday,501,14217,jubilee,-1,2,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
holiday,501,15117,recess,-1,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
