user_id,response_id,quote_id,overall_score,other
9435,68,323,3,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""3"" >
<instance>leadership is the art of getting someone else to do something you want done because he wants to do it</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">leadership</input>
<input mode=""speech"" intelligibility=""2"">is</input>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""3"">art</input>
<input mode=""speech"" intelligibility=""5"">of</input>
<input mode=""speech"" intelligibility=""4"">getting</input>
<input mode=""speech"" intelligibility=""5"">someone</input>
<input mode=""speech"" intelligibility=""2"">else</input>
<input mode=""speech"" intelligibility=""5"">to</input>
<input mode=""speech"" intelligibility=""1"">do</input>
<input mode=""speech"" intelligibility=""3"">something</input>
<input mode=""speech"" intelligibility=""6"">you</input>
<input mode=""speech"" intelligibility=""3"">want</input>
<input mode=""speech"" intelligibility=""3"">done</input>
<input mode=""speech"" intelligibility=""5"">because</input>
<input mode=""speech"" intelligibility=""4"">he</input>
<input mode=""speech"" intelligibility=""4"">wants</input>
<input mode=""speech"" intelligibility=""1"">to</input>
<input mode=""speech"" intelligibility=""3"">do</input>
<input mode=""speech"" intelligibility=""4"">it</input>
</input>
"
18310,496,231,3,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""3"" >
<instance>the real difference between humans and animals is not reason it is imagination</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""1"">real</input>
<input mode=""speech"" intelligibility=""4"">difference</input>
<input mode=""speech"" intelligibility=""3"">between</input>
<input mode=""speech"" intelligibility=""3"">humans</input>
<input mode=""speech"" intelligibility=""4"">and</input>
<input mode=""speech"" intelligibility=""2"">animals</input>
<input mode=""speech"" intelligibility=""4"">is</input>
<input mode=""speech"" intelligibility=""3"">not</input>
<input mode=""speech"" intelligibility=""5"">reason</input>
<input mode=""speech"" intelligibility=""4"">it</input>
<input mode=""speech"" intelligibility=""2"">is</input>
<input mode=""speech"" intelligibility=""5"">imagination</input>
</inputs>
"
8761,266,228,1,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""1"" >
<instance>creativity requires the courage to let go of certainties</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">creativity</input>
<input mode=""speech"" intelligibility=""1"">requires</input>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""1"">courage</input>
<input mode=""speech"" intelligibility=""2"">to</input>
<input mode=""speech"" intelligibility=""2"">let</input>
<input mode=""speech"" intelligibility=""1"">go</input>
<input mode=""speech"" intelligibility=""2"">of</input>
<input mode=""speech"" intelligibility=""2"">certainties</input>
</inputs>
"
18801,689,151,1,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""1"" >
<instance>little by little one travels far</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">little</input>
<input mode=""speech"" intelligibility=""1"">by</input>
<input mode=""speech"" intelligibility=""1"">little</input>
<input mode=""speech"" intelligibility=""1"">one</input>
<input mode=""speech"" intelligibility=""2"">travels</input>
<input mode=""speech"" intelligibility=""2"">far</input>
</inputs>
"
3079,124,421,3,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""3"" >
<instance>i must be willing to give up what i am in order to become what i will be</instance>
<inputs>
<input mode=""speech"" intelligibility=""4"">i</input>
<input mode=""speech"" intelligibility=""4"">must</input>
<input mode=""speech"" intelligibility=""4"">be</input>
<input mode=""speech"" intelligibility=""1"">willing</input>
<input mode=""speech"" intelligibility=""2"">to</input>
<input mode=""speech"" intelligibility=""5"">give</input>
<input mode=""speech"" intelligibility=""3"">up</input>
<input mode=""speech"" intelligibility=""4"">what</input>
<input mode=""speech"" intelligibility=""1"">i</input>
<input mode=""speech"" intelligibility=""4"">am</input>
<input mode=""speech"" intelligibility=""4"">in</input>
<input mode=""speech"" intelligibility=""5"">order</input>
<input mode=""speech"" intelligibility=""4"">to</input>
<input mode=""speech"" intelligibility=""5"">become</input>
<input mode=""speech"" intelligibility=""3"">what</input>
<input mode=""speech"" intelligibility=""3"">i</input>
<input mode=""speech"" intelligibility=""1"">will</input>
<input mode=""speech"" intelligibility=""5"">be</input>
</input>
"
18559,1166,524,4,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""4"" >
<instance>teamwork simply stated it is less me and more we</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">teamwork</input>
<input mode=""speech"" intelligibility=""4"">simply</input>
<input mode=""speech"" intelligibility=""3"">stated</input>
<input mode=""speech"" intelligibility=""6"">it</input>
<input mode=""speech"" intelligibility=""6"">is</input>
<input mode=""speech"" intelligibility=""5"">less</input>
<input mode=""speech"" intelligibility=""6"">me</input>
<input mode=""speech"" intelligibility=""5"">and</input>
<input mode=""speech"" intelligibility=""6"">more</input>
<input mode=""speech"" intelligibility=""1"">we</input>
</inputs>
"
8761,274,195,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>shoot for the moon and if you miss you will still be among the stars</instance>
<inputs>
<input mode=""speech"" intelligibility=""3"">shoot</input>
<input mode=""speech"" intelligibility=""1"">for</input>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""3"">moon</input>
<input mode=""speech"" intelligibility=""4"">and</input>
<input mode=""speech"" intelligibility=""2"">if</input>
<input mode=""speech"" intelligibility=""1"">you</input>
<input mode=""speech"" intelligibility=""4"">miss</input>
<input mode=""speech"" intelligibility=""4"">you</input>
<input mode=""speech"" intelligibility=""1"">will</input>
<input mode=""speech"" intelligibility=""2"">still</input>
<input mode=""speech"" intelligibility=""2"">be</input>
<input mode=""speech"" intelligibility=""4"">among</input>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""2"">stars</input>
</inputs>
"
18498,985,189,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>the only thing more dangerous than ignorance is arrogance</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">the</input>
<input mode=""speech"" intelligibility=""3"">only</input>
<input mode=""speech"" intelligibility=""3"">thing</input>
<input mode=""speech"" intelligibility=""4"">more</input>
<input mode=""speech"" intelligibility=""2"">dangerous</input>
<input mode=""speech"" intelligibility=""2"">than</input>
<input mode=""speech"" intelligibility=""2"">ignorance</input>
<input mode=""speech"" intelligibility=""3"">is</input>
<input mode=""speech"" intelligibility=""2"">arrogance</input>
</inputs>
"
18346,644,232,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>nothing is impossible with so many people saying it couldnt be done all it takes is an imagination</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">nothing</input>
<input mode=""speech"" intelligibility=""1"">is</input>
<input mode=""speech"" intelligibility=""1"">impossible</input>
<input mode=""speech"" intelligibility=""1"">with</input>
<input mode=""speech"" intelligibility=""2"">so</input>
<input mode=""speech"" intelligibility=""2"">many</input>
<input mode=""speech"" intelligibility=""2"">people</input>
<input mode=""speech"" intelligibility=""2"">saying</input>
<input mode=""speech"" intelligibility=""2"">it</input>
<input mode=""speech"" intelligibility=""2"">couldnt</input>
<input mode=""speech"" intelligibility=""1"">be</input>
<input mode=""speech"" intelligibility=""3"">done</input>
<input mode=""speech"" intelligibility=""2"">all</input>
<input mode=""speech"" intelligibility=""2"">it</input>
<input mode=""speech"" intelligibility=""2"">takes</input>
<input mode=""speech"" intelligibility=""1"">is</input>
<input mode=""speech"" intelligibility=""3"">an</input>
<input mode=""speech"" intelligibility=""2"">imagination</input>
</inputs>
"
18346,603,32,3,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""3"" >
<instance>the more that you read the more things you will know the more that you learn the more places youll go</instance>
<inputs>
<input mode=""speech"" intelligibility=""6"">the</input>
<input mode=""speech"" intelligibility=""4"">more</input>
<input mode=""speech"" intelligibility=""3"">that</input>
<input mode=""speech"" intelligibility=""6"">you</input>
<input mode=""speech"" intelligibility=""1"">read</input>
<input mode=""speech"" intelligibility=""5"">the</input>
<input mode=""speech"" intelligibility=""6"">more</input>
<input mode=""speech"" intelligibility=""2"">things</input>
<input mode=""speech"" intelligibility=""4"">you</input>
<input mode=""speech"" intelligibility=""1"">will</input>
<input mode=""speech"" intelligibility=""4"">know</input>
<input mode=""speech"" intelligibility=""6"">the</input>
<input mode=""speech"" intelligibility=""6"">more</input>
<input mode=""speech"" intelligibility=""5"">that</input>
<input mode=""speech"" intelligibility=""5"">you</input>
<input mode=""speech"" intelligibility=""2"">learn</input>
<input mode=""speech"" intelligibility=""5"">the</input>
<input mode=""speech"" intelligibility=""3"">more</input>
<input mode=""speech"" intelligibility=""1"">places</input>
<input mode=""speech"" intelligibility=""4"">youll</input>
<input mode=""speech"" intelligibility=""3"">go</input>
</inputs>
"
