Category,,Level,,Sub Category,,Explaination,,Words ,,Examples,,Solution,,,
,,,,,,,,,,,,,,,
Unformed Sentences ,,0,,A single word,,Only 1 word is present and a sentence is not formed ,,,,testing,,discard immediately ,,,
,,,,Length of the words,,A sentence can atleast have 3 word ,,,,,,discard immediately ,,,
,,,,Typing Error,,Error in a word or collection of word,,1. extra spaces   2. extra punctuation  3. no punctuation 4. wrong spelling ,,Will this be spreadd in the village Or not??,,1. Use language check 2. Form a correct sentence and then find it category  ,1. corrects any spelling mistake or grammar according to en-us but not repeatation of letter in last i.e whyy == whyy only no change ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sentence only,,1,,Reply to a conversation,,Using courtesy words only no other word,,,,"Thank you for your help",,Having array of courtesy word,,,
,,,,Writing a message  ,,Collection of words which make sense ,,,,My test question,,following sentence defination,https://www.englishclub.com/grammar/sentence/what-is-a-sentence.htm,,
,,,,Presenting an opinion  w/o question,,Containing adjectives,,1. No ques words 2. Adjective word present ,,This is very intersectional. ,,1. Not having ques word list 2. Finding adjective word,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ambigous ,,2,,-,,-,,Finding pronoun,,,,1. Using POS tag 2. Finding if pronoun tag present 3. Classifying it a level 2,True if only pronoun present and not ques word if ques word present move forward ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Simple ,,3,,Meaning of a word,,-,,"1. what,say,tell  2. meaning ",,What is the meaning of convene,,finding sequence defined in words,,,
,,,,Time and place of an event that has happend,,-,,"1. when,where,what 2. past tense words  ",,-,,finding sequence defined in words,,,
,,,,Bot questions,,-,,-,,-,,Already answer available ,,https://medium.com/twyla-ai/40-small-talk-questions-your-chatbot-needs-to-know-and-why-it-matters-63caf03347f6,
,,,,Bot question related to article,,-,,1.what how where,,What is the profit of jio in it,,finding answer in article or through search ,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Good effective,,4,,Presenting an opinion along with question for a current or random situation,,1. finding words refering to an opinion despite.eventhough 2. Refering to something not happend in the aticle ,,1. Words in link 2. Analysing the situation is not present in the article,,"  
Despite being multireligious and multilingual, why does India can't stop communal violence?
",,finding sequence defined in word,,https://www.merriam-webster.com/thesaurus/opinion,
,,,,Presenting an opinion along with question with refernce to article,,1 finding words refering to an opinion despite.eventhough  2. Situation refering to an article,,1. Words in link 2. Analysing if situation is present in article,,How at the end of the article India's response to Corona came?,,finding sequence defined in word,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Difficult,,5,,Something which is not yet predicted or known with or w/o reference to article,,1.Asking about future,,"What,when, words  refering to furture",,"What's the worst that can happen?",,finding sequence defined in word,,https://www.merriam-webster.com/thesaurus/happen,https://www.merriam-webster.com/thesaurus/future
,,,,A situation which can change with time or Ques related to future  with or w/o reference to article,,1. Finding if the situation being taken in to account will have the same effect in furture as that in past,,"words related to current ,how, reason",,How covid 19 happened,,finding sequence defined in word,,,
,,,,If steps taken earlier was right or wrong  with or w/o reference to article,,1. The steps which where being used in past was okay ,,"past tense,why, when,how",,,,finding sequence defined in word,,,
,,,,How a situation can effect other sectors  with or w/o reference to article,,1. Situation which is being discussed how can it effect rlated parameters,,"words linked with situation in article ot mentioned, words related to affect ",,How will the small business survive amid this lockdown?,,finding sequence defined in word,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Problems :,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1. Dividing if multiple questions are present ,177 entry in question article,,,,,,,,,,,,,,
